"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
1	0.1	0	0	9.888	9.31558265885729	50	10	100	0.572417341142707	-4.51547371917643	"normal"
2	0.09	0	0.01	9.888	9.36391505380081	50	10	100	0.52408494619919	-1.71831446703069	"normal"
3	0.1	0	0	9.888	9.88576602951254	50	10	100	0.00223397048745788	-3.05846314221552	"normal"
1	0.11	0	0	9.888	9.97508099278897	50	10	100	-0.0870809927889695	-1.68957013801999	"normal"
2	0.09	0	0.02	9.888	9.02449341479797	50	10	100	0.863506585202032	-1.74770733263124	"normal"
3	0.11	0	0	9.888	9.41028864326866	50	10	100	0.477711356731339	-4.44921151832849	"normal"
1	0.12	0	0	9.888	8.40417346075232	50	10	100	1.48382653924768	-2.55471304743892	"normal"
2	0.1	0	0.02	9.888	9.51261087697334	50	10	100	0.375389123026656	-2.40945529087355	"normal"
3	0.12	0	0	9.888	9.00593808339085	50	10	100	0.88206191660915	-3.42710144200573	"normal"
1	0.13	0	0	9.888	8.85807054088611	50	10	100	1.02992945911389	-2.53321549499438	"normal"
2	0.11	0	0.02	9.888	8.69602966495764	50	10	100	1.19197033504236	-2.64935270104013	"normal"
3	0.13	0	0	9.888	8.73538469112046	50	10	100	1.15261530887954	-2.82578296737283	"normal"
1	0.14	0	0	9.888	9.33767106029875	50	10	100	0.550328939701247	-4.09565222653231	"normal"
2	0.12	0	0.02	9.888	9.4461230849641	50	10	100	0.441876915035902	-2.20360093564626	"normal"
3	0.14	0	0	9.888	9.5436817907419	50	10	100	0.344318209258102	-2.32419666042174	"normal"
1	0.15	0	0	9.888	9.13046930436421	50	10	100	0.757530695635793	-3.41809445164731	"normal"
2	0.13	0	0.02	9.888	9.34460060551265	50	10	100	0.543399394487354	-1.12267439433013	"normal"
3	0.15	0	0	9.888	9.09759606385679	50	10	100	0.790403936143207	-2.89314337093639	"normal"
1	0.16	0	0	9.888	9.74297360616043	50	10	100	0.145026393839567	-2.33983654018923	"normal"
2	0.14	0	0.02	9.888	9.34009932745347	50	10	100	0.547900672546527	-2.13475499828395	"normal"
3	0.16	0	0	9.888	9.08073837332237	50	10	100	0.807261626677631	-2.32851085306008	"normal"
1	0.17	0	0	9.888	9.46035799523296	50	10	100	0.427642004767042	-2.85951307835129	"normal"
2	0.15	0	0.02	9.888	9.2149216064299	50	10	100	0.673078393570096	-2.22419631379619	"normal"
3	0.17	0	0	9.888	8.93533498688308	50	10	100	0.952665013116921	-2.74661485477827	"normal"
1	0.18	0	0	9.888	9.68849266507398	50	10	100	0.199507334926016	-2.3471750086408	"normal"
2	0.16	0	0.02	9.888	9.16177794660002	50	10	100	0.726222053399985	-1.66404118496671	"normal"
3	0.18	0	0	9.888	9.71988123138962	50	10	100	0.168118768610375	-2.35714196264861	"normal"
1	0.19	0	0	9.888	9.05716654234574	50	10	100	0.830833457654261	-3.08921667943933	"normal"
2	0.17	0	0.02	9.888	9.60060454566864	50	10	100	0.28739545433136	-2.55541244285544	"normal"
3	0.19	0	0	9.888	9.32875096376266	50	10	100	0.559249036237341	-3.58956936419269	"normal"
1	0.2	0	0	9.888	9.23447795137358	50	10	100	0.653522048626424	-3.82379428538267	"normal"
2	0.18	0	0.02	9.888	9.6676198773545	50	10	100	0.220380122645505	-2.13262509027983	"normal"
3	0.2	0	0	9.888	9.16020961737095	50	10	100	0.727790382629053	-3.76548817342887	"normal"
1	0.21	0	0	9.888	9.95916023442183	50	10	100	-0.0711602344218338	-2.40526416248489	"normal"
2	0.19	0	0.02	9.888	9.44547553491913	50	10	100	0.442524465080867	-2.71227569378703	"normal"
